dataset,tess_size,length_scale,output_variance,zero_boundary,n_recurrence,N,acc_train,acc_test
ArrowHead,64.0,0.01,0.1,1.0,5.0,0.0,0.8333333333333334,0.6403358823529413
ArrowHead,64.0,0.01,0.1,1.0,5.0,8.0,0.8888888888888888,0.6830249411764705
ArrowHead,64.0,0.01,0.1,0.0,1.0,0.0,0.7777777777777778,0.5976468235294118
ArrowHead,64.0,0.01,0.1,0.0,1.0,8.0,0.8611111111111112,0.6616804117647059
ArrowHead,64.0,0.01,0.1,0.0,5.0,0.0,0.7777777777777778,0.5976468235294118
ArrowHead,64.0,0.01,0.1,0.0,5.0,8.0,0.8611111111111112,0.6616804117647059
ArrowHead,64.0,0.01,0.5,1.0,1.0,0.0,0.7777777777777778,0.5976468235294118
ArrowHead,64.0,0.01,0.5,1.0,1.0,8.0,0.8611111111111112,0.6616804117647059
ArrowHead,64.0,0.01,0.5,1.0,5.0,0.0,0.8055555555555556,0.6189913529411765
ArrowHead,64.0,0.01,0.5,1.0,5.0,8.0,0.8333333333333334,0.6403358823529413
ArrowHead,64.0,0.01,0.5,0.0,1.0,0.0,0.7777777777777778,0.5976468235294118
ArrowHead,64.0,0.01,0.5,0.0,1.0,8.0,0.75,0.5763022941176471
ArrowHead,64.0,0.01,0.5,0.0,5.0,0.0,0.7777777777777778,0.5976468235294118
ArrowHead,64.0,0.01,0.5,0.0,5.0,8.0,0.7777777777777778,0.5976468235294118
Beef,16.0,0.001,0.1,1.0,1.0,0.0,0.5,0.42
Beef,16.0,0.001,0.1,1.0,1.0,8.0,0.5666666666666667,0.4759999999999999
Beef,16.0,0.001,0.1,1.0,5.0,0.0,0.5,0.42
Beef,16.0,0.001,0.1,1.0,5.0,8.0,0.5666666666666667,0.4759999999999999
Beef,16.0,0.001,0.1,0.0,1.0,0.0,0.5,0.42
Beef,16.0,0.001,0.1,0.0,1.0,8.0,0.5333333333333333,0.44799999999999995
Beef,16.0,0.001,0.1,0.0,5.0,0.0,0.5,0.42
Beef,16.0,0.001,0.1,0.0,5.0,8.0,0.5666666666666667,0.4759999999999999
Beef,16.0,0.001,0.5,1.0,1.0,0.0,0.5,0.42
Beef,16.0,0.001,0.5,1.0,1.0,8.0,0.6,0.504
Beef,16.0,0.001,0.5,1.0,5.0,0.0,0.5,0.42
Beef,16.0,0.001,0.5,1.0,5.0,8.0,0.5666666666666667,0.4759999999999999
Beef,16.0,0.001,0.5,0.0,1.0,0.0,0.5,0.42
Beef,16.0,0.001,0.5,0.0,1.0,8.0,0.5666666666666667,0.4759999999999999
Beef,16.0,0.001,0.5,0.0,5.0,0.0,0.5,0.42
Beef,16.0,0.001,0.5,0.0,5.0,8.0,0.5666666666666667,0.4759999999999999
Beef,16.0,0.01,0.1,1.0,1.0,0.0,0.5,0.42
Beef,16.0,0.01,0.1,1.0,1.0,8.0,0.5666666666666667,0.4759999999999999
Beef,16.0,0.01,0.1,1.0,5.0,0.0,0.5,0.42
Beef,16.0,0.01,0.1,1.0,5.0,8.0,0.6333333333333333,0.5319999999999999
Beef,16.0,0.01,0.1,0.0,1.0,0.0,0.5,0.42
Beef,16.0,0.01,0.1,0.0,1.0,8.0,0.5333333333333333,0.44799999999999995
Beef,16.0,0.01,0.1,0.0,5.0,0.0,0.5,0.42
Beef,16.0,0.01,0.1,0.0,5.0,8.0,0.5,0.42
Beef,16.0,0.01,0.5,1.0,1.0,0.0,0.5,0.42
Beef,16.0,0.01,0.5,1.0,1.0,8.0,0.6666666666666666,0.5599999999999999
Beef,16.0,0.01,0.5,1.0,5.0,0.0,0.5,0.42
Beef,16.0,0.01,0.5,1.0,5.0,8.0,0.5666666666666667,0.4759999999999999
Beef,16.0,0.01,0.5,0.0,1.0,0.0,0.5,0.42
Beef,16.0,0.01,0.5,0.0,1.0,8.0,0.5333333333333333,0.44799999999999995
Beef,16.0,0.01,0.5,0.0,5.0,0.0,0.5,0.42
Beef,16.0,0.01,0.5,0.0,5.0,8.0,0.5333333333333333,0.44799999999999995
Beef,32.0,0.001,0.1,1.0,1.0,0.0,0.5,0.42
Beef,32.0,0.001,0.1,1.0,1.0,8.0,0.5666666666666667,0.4759999999999999
Beef,32.0,0.001,0.1,1.0,5.0,0.0,0.5,0.42
Beef,32.0,0.001,0.1,1.0,5.0,8.0,0.5666666666666667,0.4759999999999999
Beef,32.0,0.001,0.1,0.0,1.0,0.0,0.5,0.42
Beef,32.0,0.001,0.1,0.0,1.0,8.0,0.5666666666666667,0.4759999999999999
Beef,32.0,0.001,0.1,0.0,5.0,0.0,0.5,0.42
Beef,32.0,0.001,0.1,0.0,5.0,8.0,0.5,0.42
Beef,32.0,0.001,0.5,1.0,1.0,0.0,0.5,0.42
Beef,32.0,0.001,0.5,1.0,1.0,8.0,0.5666666666666667,0.4759999999999999
Beef,32.0,0.001,0.5,1.0,5.0,0.0,0.5,0.42
Beef,32.0,0.001,0.5,1.0,5.0,8.0,0.5666666666666667,0.4759999999999999
Beef,32.0,0.001,0.5,0.0,1.0,0.0,0.5,0.42
Beef,32.0,0.001,0.5,0.0,1.0,8.0,0.5666666666666667,0.4759999999999999
Beef,32.0,0.001,0.5,0.0,5.0,0.0,0.5,0.42
Beef,32.0,0.001,0.5,0.0,5.0,8.0,0.4666666666666667,0.39199999999999996
Beef,32.0,0.01,0.1,1.0,1.0,0.0,0.5,0.42
Beef,32.0,0.01,0.1,1.0,1.0,8.0,0.5666666666666667,0.4759999999999999
Beef,32.0,0.01,0.1,1.0,5.0,0.0,0.5,0.42
Beef,32.0,0.01,0.1,1.0,5.0,8.0,0.6333333333333333,0.5319999999999999
Beef,32.0,0.01,0.1,0.0,1.0,0.0,0.5,0.42
Beef,32.0,0.01,0.1,0.0,1.0,8.0,0.5333333333333333,0.44799999999999995
Beef,32.0,0.01,0.1,0.0,5.0,0.0,0.5,0.42
Beef,32.0,0.01,0.1,0.0,5.0,8.0,0.5666666666666667,0.4759999999999999
Beef,32.0,0.01,0.5,1.0,1.0,0.0,0.5,0.42
Beef,32.0,0.01,0.5,1.0,1.0,8.0,0.5666666666666667,0.4759999999999999
Beef,32.0,0.01,0.5,1.0,5.0,0.0,0.5,0.42
Beef,32.0,0.01,0.5,1.0,5.0,8.0,0.5666666666666667,0.4759999999999999
Beef,32.0,0.01,0.5,0.0,1.0,0.0,0.5,0.42
Beef,32.0,0.01,0.5,0.0,1.0,8.0,0.5666666666666667,0.4759999999999999
Beef,32.0,0.01,0.5,0.0,5.0,0.0,0.5,0.42
Beef,32.0,0.01,0.5,0.0,5.0,8.0,0.4666666666666667,0.39199999999999996
Beef,64.0,0.001,0.1,1.0,1.0,0.0,0.5,0.42
Beef,64.0,0.001,0.1,1.0,1.0,8.0,0.5666666666666667,0.4759999999999999
Beef,64.0,0.001,0.1,1.0,5.0,0.0,0.5,0.42
Beef,64.0,0.001,0.1,1.0,5.0,8.0,0.7333333333333333,0.6159999999999999
Beef,64.0,0.001,0.1,0.0,1.0,0.0,0.5,0.42
Beef,64.0,0.001,0.1,0.0,1.0,8.0,0.5666666666666667,0.4759999999999999
Beef,64.0,0.001,0.1,0.0,5.0,0.0,0.5,0.42
Beef,64.0,0.001,0.1,0.0,5.0,8.0,0.6,0.504
Beef,64.0,0.001,0.5,1.0,1.0,0.0,0.5,0.42
Beef,64.0,0.001,0.5,1.0,1.0,8.0,0.5666666666666667,0.4759999999999999
Beef,64.0,0.001,0.5,1.0,5.0,0.0,0.5,0.42
Beef,64.0,0.001,0.5,1.0,5.0,8.0,0.6333333333333333,0.5319999999999999
Beef,64.0,0.001,0.5,0.0,1.0,0.0,0.5,0.42
Beef,64.0,0.001,0.5,0.0,1.0,8.0,0.5666666666666667,0.4759999999999999
Beef,64.0,0.001,0.5,0.0,5.0,0.0,0.5,0.42
Beef,64.0,0.001,0.5,0.0,5.0,8.0,0.5666666666666667,0.4759999999999999
Beef,64.0,0.01,0.1,1.0,1.0,0.0,0.5,0.42
Beef,64.0,0.01,0.1,1.0,1.0,8.0,0.6333333333333333,0.5319999999999999
Beef,64.0,0.01,0.1,1.0,5.0,0.0,0.5,0.42
Beef,64.0,0.01,0.1,1.0,5.0,8.0,0.6,0.504
Beef,64.0,0.01,0.1,0.0,1.0,0.0,0.5,0.42
Beef,64.0,0.01,0.1,0.0,1.0,8.0,0.5333333333333333,0.44799999999999995
Beef,64.0,0.01,0.1,0.0,5.0,0.0,0.5,0.42
Beef,64.0,0.01,0.1,0.0,5.0,8.0,0.5,0.42
Beef,64.0,0.01,0.5,1.0,1.0,0.0,0.5,0.42
Beef,64.0,0.01,0.5,1.0,1.0,8.0,0.6,0.504
Beef,64.0,0.01,0.5,1.0,5.0,0.0,0.5,0.42
Beef,64.0,0.01,0.5,1.0,5.0,8.0,0.8333333333333334,0.7
Beef,64.0,0.01,0.5,0.0,1.0,0.0,0.5,0.42
Beef,64.0,0.01,0.5,0.0,1.0,8.0,0.5666666666666667,0.4759999999999999
Beef,64.0,0.01,0.5,0.0,5.0,0.0,0.5,0.42
Beef,64.0,0.01,0.5,0.0,5.0,8.0,0.5333333333333333,0.44799999999999995
BeetleFly,16.0,0.001,0.1,1.0,1.0,0.0,0.8,0.76
BeetleFly,16.0,0.001,0.1,1.0,1.0,8.0,0.95,0.9025
BeetleFly,16.0,0.001,0.1,1.0,5.0,0.0,0.8,0.76
BeetleFly,16.0,0.001,0.1,1.0,5.0,8.0,1.0,0.95
BeetleFly,16.0,0.001,0.1,0.0,1.0,0.0,0.9,0.855
BeetleFly,16.0,0.001,0.1,0.0,1.0,8.0,0.95,0.9025
BeetleFly,16.0,0.001,0.1,0.0,5.0,0.0,0.95,0.9025
BeetleFly,16.0,0.001,0.1,0.0,5.0,8.0,0.8,0.76
BeetleFly,16.0,0.001,0.5,1.0,1.0,0.0,0.8,0.76
BeetleFly,16.0,0.001,0.5,1.0,1.0,8.0,0.95,0.9025
BeetleFly,16.0,0.001,0.5,1.0,5.0,0.0,0.8,0.76
BeetleFly,16.0,0.001,0.5,1.0,5.0,8.0,0.95,0.9025
BeetleFly,16.0,0.001,0.5,0.0,1.0,0.0,0.9,0.855
BeetleFly,16.0,0.001,0.5,0.0,1.0,8.0,0.95,0.9025
BeetleFly,16.0,0.001,0.5,0.0,5.0,0.0,0.95,0.9025
BeetleFly,16.0,0.001,0.5,0.0,5.0,8.0,0.9,0.855
BeetleFly,16.0,0.01,0.1,1.0,1.0,0.0,0.8,0.76
BeetleFly,16.0,0.01,0.1,1.0,1.0,8.0,0.95,0.9025
BeetleFly,16.0,0.01,0.1,1.0,5.0,0.0,0.8,0.76
BeetleFly,16.0,0.01,0.1,1.0,5.0,8.0,0.95,0.9025
